timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to
43069.0,44,1.621,118.5771,1.625,622,0,132,3.7799,2.6016,2.7422,6,-8.6406,172.7905,1.254,122.9249,-116,4.6441,18.045,0,15.7717,3.0196,0.3788,39.2136,14.6703,46,26,60,536,20,336,2.2383,5.0,1.6875,0.0,-45.25,70.7188,1.9063,4.1719,9.9063,348.0835,558.8989,29.5,0.8125,-14.5625,20.1719,65.8594
44081.0,45,1.6171,116.0542,1.625,664,0,124,1.7102,1.5313,0.7617,9,-8.6563,308.4106,1.1145,128.4333,-147,7.4323,0,0,14.7741,3.055,0.3305,36.9082,13.5678,6,18,28,618,20,334,0.7031,2.375,0.6875,0.0,-45.25,83.3594,4.0469,4.4844,11.4844,409.79,559.7534,29.5,0.8125,2.6406,12.375,79.2656
45115.0,46,1.621,122.9508,1.625,602,0,128,3.8293,2.4844,2.9141,5,-6.4219,103.1494,1.2425,123.3607,-114,4.486,21.4497,0,16.2957,3.0001,0.4805,42.7111,16.3428,84,28,64,510,20,318,2.0156,3.875,0.6875,0.0,-45.25,69.5313,-0.7344,1.6875,0.9219,383.9111,565.5518,29.5,0.8125,-10.5469,21.9375,64.8125
46091.0,47,1.6171,117.4168,1.625,642,0,127,3.7352,2.5859,2.6953,10,-4.5469,131.8359,1.1838,125.636,-131,5.9147,37.3698,0,15.2804,3.0311,0.3578,38.1403,14.157,32,2,40,600,20,330,1.1328,1.5,0.4375,0.0,-45.25,84.2813,-0.1875,1.6563,3.4219,334.1675,589.8438,29.5,0.8125,-10.375,9.4531,79.9375
47113.0,48,1.621,120.4819,1.625,622,0,128,3.8762,2.4688,2.9883,10,-8.7344,282.1655,1.2026,124.8996,-124,5.3032,29.7409,0,15.7717,3.0196,0.4312,40.7853,15.4219,54,8,28,586,20,328,1.207,3.125,0.5,0.0,-45.25,88.2188,-0.9844,-9.6563,-10.1719,461.853,634.0332,29.5,0.8125,-8.2188,8.5781,84.0625
48109.0,49,1.6131,117.4168,1.625,636,0,137,3.4482,3.2227,1.2266,11,-2.1719,146.9727,1.2138,124.4618,-125,5.3885,25.7887,0,15.4245,3.0158,0.3532,38.0836,14.1299,22,8,22,606,20,346,0.3125,3.4375,1.25,0.0,-45.0,86.3906,1.5938,1.9375,8.2813,326.4771,576.7212,29.5,0.8125,-10.2031,6.625,82.9219
49131.0,50,1.6051,116.6181,1.625,643,0,127,3.4883,3.4883,0.0,11,-7.2344,300.7813,1.2006,124.9757,-129,5.7367,31.7712,0,15.2566,3.0049,0.3358,37.3516,13.7799,17,5,25,613,20,344,0.2773,3.6875,0.75,0.0,-45.25,79.0313,0.2031,10.0313,13.2188,433.0444,485.2295,29.5,0.8125,-24.2969,7.9844,75.2813
50160.0,51,1.6012,116.2791,1.625,654,0,133,3.0578,2.1406,2.1836,11,-5.2969,251.77,1.156,126.7442,-138,6.5583,110.1113,0,15.0,3.0072,0.328,36.8688,13.549,12,6,24,624,20,338,0.0625,2.875,0.5625,0.0,-45.0,87.2656,2.4063,5.8906,14.5469,359.6191,540.5884,29.5,0.8125,0.0313,6.8281,82.9063
51192.0,52,1.5932,115.6069,1.625,638,0,125,4.4368,3.5625,2.6445,7,-7.8281,177.7344,1.2539,122.9287,-119,4.8862,19.449,0,15.3762,2.9728,0.2982,36.2143,13.236,14,26,46,566,20,352,1.5039,4.625,1.125,0.0,-45.25,77.0781,4.0156,6.4375,17.25,412.4756,527.2217,29.5,0.8125,-10.625,17.1406,73.5156
52230.0,53,1.5932,116.2791,1.625,652,0,131,2.5592,2.5273,0.4023,6,-8.6406,221.4355,1.1656,126.3566,-136,6.3711,86.7032,0,15.046,2.9868,0.3251,36.7462,13.4904,12,6,62,584,20,340,0.0469,2.375,0.6875,0.0,-45.25,72.25,2.2813,6.1875,9.6719,382.9346,551.8188,29.5,0.8125,-11.8125,19.7969,67.5625
53262.0,54,1.5893,118.8119,1.625,660,0,127,3.4611,2.0117,2.8164,8,-3.3125,198.6694,1.0606,130.6931,-155,8.2524,0,0,14.8636,2.9859,0.4025,38.8811,14.5113,16,22,24,614,20,328,0.5078,3.3125,1.1875,0.0,-45.25,83.3594,2.2969,7.125,8.5156,377.9907,572.1436,29.5,0.8125,-5.2188,14.5938,79.1094
54272.0,55,1.6012,124.2236,1.625,590,0,131,3.8782,2.9648,2.5,10,-8.1563,294.2505,1.2746,122.1532,-107,3.9538,19.4356,0,16.6271,2.9458,0.4955,43.2755,16.6127,84,8,30,552,20,330,1.8945,4.125,0.25,0.0,-45.0,91.9688,1.1875,-1.1563,3.5938,435.4858,681.1523,29.5,0.8125,-11.1094,9.5469,86.8906
55238.0,56,1.6012,121.2121,1.625,594,0,129,4.5308,3.4727,2.9102,5,-17.8281,351.8066,1.3333,120.0,-99,3.3861,13.7558,0,16.5152,2.9493,0.4232,41.0081,15.5284,80,26,82,486,20,330,3.1406,5.3125,1.625,0.0,-45.0,65.2969,2.125,6.1719,15.5625,519.4702,557.373,29.5,0.8125,0.1094,23.5469,59.9844
56228.0,57,1.6012,116.7315,1.625,634,0,124,3.3396,2.1875,2.5234,11,-4.75,174.9268,1.2429,123.3463,-120,4.9683,20.8376,0,15.4732,2.9868,0.3298,37.3133,13.7615,32,8,34,592,19,339,1.9531,4.1875,0.5625,0.0,-45.0,90.2656,0.0469,8.625,15.1875,407.3486,524.1699,29.5,0.8125,-16.0,7.8281,86.0
57256.0,58,1.6051,119.403,1.625,622,0,124,4.9137,3.5859,3.3594,9,-5.7656,222.1069,1.2315,123.7811,-120,4.9683,23.8757,0,15.7717,2.984,0.4005,39.7228,14.9138,52,20,21,581,20,330,1.6016,5.5,1.3125,0.0,-45.25,79.3594,1.4219,5.0313,15.4219,443.7866,550.8423,29.5,0.8125,-20.3281,12.5156,74.7344
58261.0,59,1.6051,118.1102,1.625,622,0,114,5.7938,3.5859,4.5508,4,-8.0313,193.7256,1.2669,122.4409,-114,4.486,17.7042,0,15.7717,2.984,0.3619,38.5645,14.3599,44,18,70,534,20,338,1.8516,5.25,0.75,0.0,-45.25,71.7188,0.2188,9.5625,16.0469,471.5576,561.2793,29.5,0.8125,1.8594,25.6563,67.1406
59277.0,60,1.6091,116.5049,1.625,648,0,119,5.1235,3.2969,3.9219,10,-5.7344,219.8486,1.179,125.8252,-133,6.0953,43.8562,0,15.1389,3.0192,0.3331,37.2072,13.7108,20,2,34,612,20,336,1.0469,2.0625,0.0625,0.0,-45.25,85.9531,1.3125,1.9688,7.3906,415.5273,572.8149,29.5,0.8125,-12.2031,10.3281,81.2188
